Gene_Name,homologous_superfamily,name
BABAM1,['IPR036465'],['von Willebrand factor A-like domain superfamily']
HIST1H2AA,['IPR009072'],['Histone-fold']
MC2R,,
ALDH3A1,"['IPR016161', 'IPR016162', 'IPR016163']","['Aldehyde/histidinol dehydrogenase', 'Aldehyde dehydrogenase, N-terminal', 'Aldehyde dehydrogenase, C-terminal']"
MYADML2,,
RFNG,,
TTPAL,"['IPR036273', 'IPR036865']","['CRAL/TRIO, N-terminal domain superfamily', 'CRAL-TRIO lipid binding domain superfamily']"
CPQ,,
FAM90A18P,,
GPATCH8,['IPR036236'],['Zinc finger C2H2 superfamily']
CDC42BPB,"['IPR011009', 'IPR011993']","['Protein kinase-like domain superfamily', 'PH-like domain superfamily']"
PILRA,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
PILRB,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
PCSK2,"['IPR008979', 'IPR036852', 'IPR038466']","['Galactose-binding-like domain superfamily', 'Peptidase S8/S53 domain superfamily', 'Peptidase S8, pro-domain superfamily']"
TRPV2,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
SLC7A1,,
NDC1,,
CHIC2,,
HCFC1R1,,
OR4K3,,
HHIP,"['IPR011041', 'IPR011042']","['Soluble quinoprotein glucose/sorbosone dehydrogenase', 'Six-bladed beta-propeller, TolB-like']"
NOX1,['IPR017938'],['Riboflavin synthase-like beta-barrel']
TMEM208,,
ADAM21,"['IPR024079', 'IPR036436']","['Metallopeptidase, catalytic domain superfamily', 'Disintegrin domain superfamily']"
CLN6,,
RBM8A,"['IPR012677', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
OR4C12,,
NMRK1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
C2orf42,,
ACCS,"['IPR015421', 'IPR015422', 'IPR015424']","['Pyridoxal phosphate-dependent transferase, major domain', 'Pyridoxal phosphate-dependent transferase domain 1', 'Pyridoxal phosphate-dependent transferase']"
GNB3,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
NWD1,"['IPR011047', 'IPR027417']","['Quinoprotein alcohol dehydrogenase-like superfamily', 'P-loop containing nucleoside triphosphate hydrolase']"
DDX5,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
OR4F4,,
HRASLS2,,
XPO6,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
OXLD1,,
FRG2B,,
USP16,"['IPR013083', 'IPR038765']","['Zinc finger, RING/FYVE/PHD-type', 'Papain-like cysteine peptidase superfamily']"
DNAJC15,['IPR036869'],['Chaperone J-domain superfamily']
SPIN1,['IPR042567'],['Spindlin/spermiogenesis-specific domain superfamily']
SOX21,['IPR036910'],['High mobility group box domain superfamily']
PARP4,"['IPR036420', 'IPR036465']","['BRCT domain superfamily', 'von Willebrand factor A-like domain superfamily']"
ADGRG1,,
DOHH,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
TBCD,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
MEIS3P1,['IPR009057'],['Homeobox-like domain superfamily']
NXT1,['IPR032710'],['NTF2-like domain superfamily']
PCDH15,['IPR015919'],['Cadherin-like superfamily']
ALKBH6,,
SHPRH,"['IPR011011', 'IPR013083', 'IPR027417', 'IPR036390', 'IPR038718']","['Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type', 'P-loop containing nucleoside triphosphate hydrolase', 'Winged helix DNA-binding domain superfamily', 'SNF2-like, N-terminal domain superfamily']"
WBP1L,"['IPR011011', 'IPR013083', 'IPR027417', 'IPR036390', 'IPR038718']","['Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type', 'P-loop containing nucleoside triphosphate hydrolase', 'Winged helix DNA-binding domain superfamily', 'SNF2-like, N-terminal domain superfamily']"
XBP1,,
ASB6,['IPR036036'],['SOCS box-like domain superfamily']
SYBU,,
THG1L,['IPR038469'],['tRNAHis guanylyltransferase Thg1 superfamily']
NUDT5,['IPR015797'],['NUDIX hydrolase-like domain superfamily']
PHF12,"['IPR011011', 'IPR013083', 'IPR036427', 'IPR038098']","['Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type', 'Bromodomain-like superfamily', 'PHD finger protein 12, MRG binding domain superfamily']"
ZNF705E,"['IPR011011', 'IPR013083', 'IPR036427', 'IPR038098']","['Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type', 'Bromodomain-like superfamily', 'PHD finger protein 12, MRG binding domain superfamily']"
ABCA5,,
FAM90A22P,,
OIT3,,
ARHGAP11B,,
PFKL,['IPR035966'],['Phosphofructokinase superfamily']
OR14A2,,
EDARADD,['IPR011029'],['Death-like domain superfamily']
TRPM7,['IPR011009'],['Protein kinase-like domain superfamily']
ABCA10,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
PRM1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
ALG12,,
EFHD1,,
ZNF677,['IPR036236'],['Zinc finger C2H2 superfamily']
HTATIP2,['IPR036236'],['Zinc finger C2H2 superfamily']
SLC39A10,,
NANOS1,['IPR038129'],['Nanos domain superfamily']
QPCTL,,
BARHL2,['IPR009057'],['Homeobox-like domain superfamily']
KLHL28,"['IPR011043', 'IPR015915']","['Galactose oxidase/kelch, beta-propeller', 'Kelch-type beta propeller']"
SCN3A,['IPR027359'],['Voltage-dependent channel domain superfamily']
CACNA2D2,['IPR036465'],['von Willebrand factor A-like domain superfamily']
RNF222,,
ADAMTS14,"['IPR024079', 'IPR036383']","['Metallopeptidase, catalytic domain superfamily', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
CACNG8,,
SPRR2F,,
BAALC,,
TMEM37,,
VPS37D,,
FAM83G,,
KIAA1257,,
EMC10,,
TMEM219,,
INO80,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
DNAAF5,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
CCPG1,,
TRIM50,"['IPR013320', 'IPR043136']","['Concanavalin A-like lectin/glucanase domain superfamily', 'B30.2/SPRY domain superfamily']"
ZNF586,['IPR036051'],['KRAB domain superfamily']
SESN1,,
OBP2A,['IPR012674'],['Calycin']
STK32B,,
KRTAP9-6,,
SMPD3,['IPR036691'],['Endonuclease/exonuclease/phosphatase superfamily']
PPIAL4C,,
CCDC28B,,
BBX,['IPR036910'],['High mobility group box domain superfamily']
VPS13A,,
MTRNR2L11,,
SIGLEC11,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
MYO3B,['IPR011009'],['Protein kinase-like domain superfamily']
UIMC1,,
DERL1,,
CAPN6,"['IPR036213', 'IPR038765']","['Calpain large subunit, domain III superfamily', 'Papain-like cysteine peptidase superfamily']"
ZFP37,['IPR036236'],['Zinc finger C2H2 superfamily']
STON1-GTF2A1L,['IPR036168'],"['AP-2 complex subunit mu, C-terminal superfamily']"
NKX2-6,,
KIDINS220,"['IPR013761', 'IPR036770']","['Sterile alpha motif/pointed domain superfamily', 'Ankyrin repeat-containing domain superfamily']"
C1orf56,,
C2orf72,,
OR14I1,,
MBLAC1,['IPR036866'],['Ribonuclease Z/Hydroxyacylglutathione hydrolase-like']
LRFN2,"['IPR013783', 'IPR032675', 'IPR036116', 'IPR036179']","['Immunoglobulin-like fold', 'Leucine-rich repeat domain superfamily', 'Fibronectin type III superfamily', 'Immunoglobulin-like domain superfamily']"
NCOA3,"['IPR009110', 'IPR035965', 'IPR036638', 'IPR037077']","['Nuclear receptor coactivator, interlocking', 'PAS domain superfamily', 'Helix-loop-helix DNA-binding domain superfamily', 'Nuclear receptor coactivator, Ncoa-type, interlocking domain superfamily']"
RNF130,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
KRT73,['IPR042180'],"['Intermediate filament, rod domain, coil 1B']"
ASAP1,"['IPR011993', 'IPR027267', 'IPR036028', 'IPR036770', 'IPR037278', 'IPR038508']","['PH-like domain superfamily', 'AH/BAR domain superfamily', 'SH3-like domain superfamily', 'Ankyrin repeat-containing domain superfamily', 'ARFGAP/RecO-like zinc finger', 'ArfGAP domain superfamily']"
ANGPTL5,['IPR036056'],"['Fibrinogen-like, C-terminal']"
AP1M2,"['IPR011012', 'IPR036168']","['Longin-like domain superfamily', 'AP-2 complex subunit mu, C-terminal superfamily']"
MKL2,,
AATF,,
TNFRSF11A,,
PMS2P1,,
SLC2A8,['IPR036259'],['MFS transporter superfamily']
TUBA8,"['IPR036525', 'IPR037103']","['Tubulin/FtsZ, GTPase domain superfamily', 'Tubulin/FtsZ, C-terminal domain superfamily']"
ARL15,,
BBS4,,
CPA5,['IPR036990'],"['Metallocarboxypeptidase-like, propeptide']"
CIC,['IPR036910'],['High mobility group box domain superfamily']
LINC01599,['IPR036910'],['High mobility group box domain superfamily']
SORCS1,"['IPR013783', 'IPR015943', 'IPR035986']","['Immunoglobulin-like fold', 'WD40/YVTN repeat-like-containing domain superfamily', 'PKD domain superfamily']"
BRI3BP,,
CITED4,,
BAGE2,,
SLC4A4,['IPR016152'],['Phosphotransferase/anion transporter']
MAP3K4,['IPR011009'],['Protein kinase-like domain superfamily']
NWD2,,
G6PC3,['IPR036938'],['Phosphatidic acid phosphatase type 2/haloperoxidase superfamily']
ATAD2B,"['IPR027417', 'IPR036427']","['P-loop containing nucleoside triphosphate hydrolase', 'Bromodomain-like superfamily']"
TRUB2,"['IPR027417', 'IPR036427']","['P-loop containing nucleoside triphosphate hydrolase', 'Bromodomain-like superfamily']"
FERD3L,"['IPR027417', 'IPR036427']","['P-loop containing nucleoside triphosphate hydrolase', 'Bromodomain-like superfamily']"
NUMBL,['IPR011993'],['PH-like domain superfamily']
LONRF3,"['IPR011990', 'IPR013083', 'IPR015947']","['Tetratricopeptide-like helical domain superfamily', 'Zinc finger, RING/FYVE/PHD-type', 'PUA-like superfamily']"
CEP57,,
XYLT1,,
KIF26A,['IPR036961'],['Kinesin motor domain superfamily']
CACUL1,['IPR036961'],['Kinesin motor domain superfamily']
TICAM2,['IPR035897'],['Toll/interleukin-1 receptor homology (TIR) domain superfamily']
CCDC61,['IPR035897'],['Toll/interleukin-1 receptor homology (TIR) domain superfamily']
HEG1,,
RIMKLB,['IPR013815'],"['ATP-grasp fold, subdomain 1']"
PRIMA1,['IPR013815'],"['ATP-grasp fold, subdomain 1']"
ZNF780B,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
ADGRG3,,
CDC20B,['IPR036322'],['WD40-repeat-containing domain superfamily']
FAM129C,['IPR011993'],['PH-like domain superfamily']
SCN3B,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
KCTD5,['IPR011333'],['SKP1/BTB/POZ domain superfamily']
FCGBP,['IPR036084'],['Serine protease inhibitor-like superfamily']
ETAA1,,
CDKN2AIP,,
RPP25,['IPR036882'],['Alba-like domain superfamily']
NDUFA11,,
ECD,,
TNFRSF13C,,
PDCD10,,
SLC16A8,,
PHF23,['IPR011011'],"['Zinc finger, FYVE/PHD-type']"
TAAR1,,
BDH2,['IPR036291'],['NAD(P)-binding domain superfamily']
RND2,,
ADI1,['IPR011051'],['RmlC-like cupin domain superfamily']
OAS3,['IPR043519'],['Nucleotidyltransferase superfamily']
NRXN1,['IPR013320'],['Concanavalin A-like lectin/glucanase domain superfamily']
DNMT3A,['IPR029063'],['S-adenosyl-L-methionine-dependent methyltransferase']
CEPT1,['IPR043130'],"['CDP-alcohol phosphotransferase, transmembrane domain']"
ERGIC2,,
RAB40C,"['IPR027417', 'IPR036036']","['P-loop containing nucleoside triphosphate hydrolase', 'SOCS box-like domain superfamily']"
CDH7,"['IPR015919', 'IPR027397']","['Cadherin-like superfamily', 'Catenin binding domain superfamily']"
CDH9,"['IPR015919', 'IPR027397']","['Cadherin-like superfamily', 'Catenin binding domain superfamily']"
PIBF1,,
MCCC1,"['IPR011054', 'IPR013815', 'IPR016185']","['Rudiment single hybrid motif', 'ATP-grasp fold, subdomain 1', 'Pre-ATP-grasp domain superfamily']"
PIGBOS1,"['IPR011054', 'IPR013815', 'IPR016185']","['Rudiment single hybrid motif', 'ATP-grasp fold, subdomain 1', 'Pre-ATP-grasp domain superfamily']"
IKBKG,,
AK5,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
IL4I1,['IPR036188'],['FAD/NAD(P)-binding domain superfamily']
OR2H2,,
FRAS1,"['IPR009030', 'IPR038081']","['Growth factor receptor cysteine-rich domain superfamily', 'CalX-like domain superfamily']"
VAMP8,,
CRYBA1,['IPR011024'],['Gamma-crystallin-like']
DUSP26,['IPR029021'],['Protein-tyrosine phosphatase-like']
TTLL1,['IPR029021'],['Protein-tyrosine phosphatase-like']
KIF18B,"['IPR027417', 'IPR036961']","['P-loop containing nucleoside triphosphate hydrolase', 'Kinesin motor domain superfamily']"
THUMPD3,['IPR029063'],['S-adenosyl-L-methionine-dependent methyltransferase']
CSN2,,
SLCO1B1,"['IPR036058', 'IPR036259']","['Kazal domain superfamily', 'MFS transporter superfamily']"
RAB23,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
OR6C74,,
KMT5C,['IPR041938'],"['Histone-lysine N-methyltransferase, N-terminal domain']"
EMCN,,
PADI1,"['IPR008972', 'IPR038685']","['Cupredoxin', 'PAD, N-terminal domain superfamily']"
ACSL5,['IPR042099'],['AMP-dependent synthetase-like superfamily']
UCN2,,
MCTS1,"['IPR015947', 'IPR036974']","['PUA-like superfamily', 'PUA domain superfamily']"
GAR1,"['IPR009000', 'IPR038664']","['Translation protein, beta-barrel domain superfamily', 'H/ACA RNP complex subunit Gar1/Naf1, Cbf5-binding domain']"
TLL2,"['IPR024079', 'IPR035914']","['Metallopeptidase, catalytic domain superfamily', 'Spermadhesin, CUB domain superfamily']"
ZDHHC8,,
STAB1,"['IPR016186', 'IPR016187', 'IPR036378']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold', 'FAS1 domain superfamily']"
GFM1,"['IPR009000', 'IPR014721', 'IPR020568', 'IPR027417', 'IPR035647']","['Translation protein, beta-barrel domain superfamily', 'Ribosomal protein S5 domain 2-type fold, subgroup', 'Ribosomal protein S5 domain 2-type fold', 'P-loop containing nucleoside triphosphate hydrolase', 'EF-G domain III/V-like']"
METTL26,['IPR029063'],['S-adenosyl-L-methionine-dependent methyltransferase']
KCNA7,"['IPR011333', 'IPR027359']","['SKP1/BTB/POZ domain superfamily', 'Voltage-dependent channel domain superfamily']"
SYF2,,
GIN1,['IPR012337'],['Ribonuclease H-like superfamily']
EPPIN,"['IPR036645', 'IPR036880']","['Elafin-like superfamily', 'Pancreatic trypsin inhibitor Kunitz domain superfamily']"
WDR18,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
WDR24,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
GAL3ST4,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
JMJD8,,
USP17L4,['IPR038765'],['Papain-like cysteine peptidase superfamily']
STX12,['IPR010989'],['SNARE']
MLPH,"['IPR011011', 'IPR013083']","['Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type']"
SLC25A23,,
APOO,,
WRAP53,['IPR015943'],['WD40/YVTN repeat-like-containing domain superfamily']
TGM6,"['IPR014756', 'IPR036238', 'IPR038765']","['Immunoglobulin E-set', 'Transglutaminase, C-terminal domain superfamily', 'Papain-like cysteine peptidase superfamily']"
CBX7,['IPR016197'],['Chromo-like domain superfamily']
OGDHL,"['IPR029061', 'IPR042179']","['Thiamin diphosphate-binding fold', 'Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal domain superfamily']"
SLC30A1,['IPR036837'],"['Cation efflux protein, cytoplasmic domain superfamily']"
CSNK1G3,['IPR011009'],['Protein kinase-like domain superfamily']
SLC4A7,,
USP17L3,['IPR038765'],['Papain-like cysteine peptidase superfamily']
NME9,,
BRPF3,"['IPR011011', 'IPR036427']","['Zinc finger, FYVE/PHD-type', 'Bromodomain-like superfamily']"
IGF2BP2,"['IPR012677', 'IPR035979', 'IPR036612']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily', 'K Homology domain, type 1 superfamily']"
PRSS21,"['IPR009003', 'IPR043504']","['Peptidase S1, PA clan', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
MTUS1,,
FAM231BP,,
KCNH3,"['IPR014710', 'IPR035965']","['RmlC-like jelly roll fold', 'PAS domain superfamily']"
MYLIP,"['IPR011993', 'IPR013083', 'IPR014352', 'IPR029071', 'IPR035963']","['PH-like domain superfamily', 'Zinc finger, RING/FYVE/PHD-type', 'FERM/acyl-CoA-binding protein superfamily', 'Ubiquitin-like domain superfamily', 'FERM superfamily, second domain']"
INTU,['IPR036034'],['PDZ superfamily']
ZNF777,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
DNAAF4,,
NDUFB9,,
CLEC5A,"['IPR016186', 'IPR016187']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold']"
ZNF608,,
SLC39A1,,
CCDC32,,
PPP4R2,,
PRR25,,
GALNT8,['IPR035992'],['Ricin B-like lectins']
DDX23,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
EOMES,"['IPR008967', 'IPR036960']","['p53-like transcription factor, DNA-binding', 'T-box superfamily']"
TBX18,"['IPR008967', 'IPR036960']","['p53-like transcription factor, DNA-binding', 'T-box superfamily']"
IGKV1D-13,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
THOC7,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
LMF1,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
MRI1,"['IPR027363', 'IPR037171']","['Methylthioribose-1-phosphate isomerase, N-terminal', 'NagB/RpiA transferase-like']"
NCR2,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
ABHD6,['IPR029058'],['Alpha/Beta hydrolase fold']
LAMC3,['IPR038684'],"['Laminin, N-terminal domain superfamily']"
WWC3,['IPR035892'],['C2 domain superfamily']
SQOR,['IPR036188'],['FAD/NAD(P)-binding domain superfamily']
EXOSC10,"['IPR010997', 'IPR012337']","['HRDC-like superfamily', 'Ribonuclease H-like superfamily']"
CDH10,"['IPR015919', 'IPR027397']","['Cadherin-like superfamily', 'Catenin binding domain superfamily']"
PTRH1,['IPR036416'],['Peptidyl-tRNA hydrolase superfamily']
ASPDH,['IPR036291'],['NAD(P)-binding domain superfamily']
ROBO1,"['IPR013783', 'IPR036116', 'IPR036179']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily', 'Immunoglobulin-like domain superfamily']"
LYPD6,,
FAM184B,,
COX11,['IPR023471'],"['Cytochrome c oxidase assembly protein CtaG/Cox11, domain superfamily']"
DENND2A,['IPR043153'],"['DENN domain, C-terminal lobe']"
CLCA3P,,
BTG4,['IPR036054'],['BTG-like domain superfamily']
HOXC5,['IPR009057'],['Homeobox-like domain superfamily']
NDE1,,
SLC26A8,,
PLAC4,,
PALD1,['IPR029021'],['Protein-tyrosine phosphatase-like']
DPP3,,
C4orf48,,
CLDND1,,
USH1C,['IPR036034'],['PDZ superfamily']
ANKRD10,,
ASIC5,,
BABAM2,,
ING3,['IPR011011'],"['Zinc finger, FYVE/PHD-type']"
ONECUT2,['IPR009057'],['Homeobox-like domain superfamily']
TBX6,['IPR036960'],['T-box superfamily']
PPM1E,,
MED15,,
FOXD4L4,['IPR036388'],['Winged helix-like DNA-binding domain superfamily']
C1orf50,,
LAMC2,,
NACC1,['IPR011333'],['SKP1/BTB/POZ domain superfamily']
LAMB3,['IPR038684'],"['Laminin, N-terminal domain superfamily']"
ASB13,['IPR036036'],['SOCS box-like domain superfamily']
FTCD,"['IPR022384', 'IPR036178', 'IPR037064', 'IPR037070']","['Formiminotransferase catalytic domain superfamily', 'Formimidoyltransferase-cyclodeaminase-like superfamily', 'Formiminotransferase, N-terminal subdomain superfamily', 'Formiminotransferase, C-terminal subdomain superfamily']"
ASB12,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
TMEM14A,,
CATSPERD,,
,,
ZNF300,['IPR036236'],['Zinc finger C2H2 superfamily']
ZSCAN5A,"['IPR036236', 'IPR038269']","['Zinc finger C2H2 superfamily', 'SCAN domain superfamily']"
DYNC1LI1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
MRPL42,,
COMMD10,,
ASB15,"['IPR036036', 'IPR036770']","['SOCS box-like domain superfamily', 'Ankyrin repeat-containing domain superfamily']"
RUNX3,"['IPR008967', 'IPR012346']","['p53-like transcription factor, DNA-binding', 'p53/RUNT-type transcription factor, DNA-binding domain superfamily']"
TWISTNB,['IPR036898'],"['RNA polymerase Rpb7-like, N-terminal domain superfamily']"
PAQR5,,
